category;category;category;sku;name;size;color;description;price;style;activity;materials;sleeve_length;collar;pattern;climate;cost
Men;Tops;Jackets;MJ01-ME-YE;Beaumont Summit Kit;"XS
S
M
L
XL
";"Green
Yellow
Black
Grey
";"The smooth nylon shell around the Beaumont Summit Kit combats wind, reinforced with a cold-fighting brushed fleece layer. The jacket is reversible, giving you a new look for the return trek. Ample pocket space rounds out this hiker’s paradise package. 

• Yellow full zip rain jacket.
• Full-zip front. 
• Stand-up collar. 
• Elasticized cuffs. 
• Machine wash/dry.";36,5;"Lightweight
Hooded
Rain Coat
Hard Shell
Windbreaker
? zip
Reversible
";"Outdoor
Running
Warmup
";"Fleece
LumaTech™
Polyester
";Long-Sleeve;N/A;Solid;"Cool
Rainy
Spring
Windy";$9,00
Men;Tops;Jackets;MJ02-ME-LI;Hyperion Elements Jacket;"XS
S
M
L
XL
";"Blue
Green
Yellow
Lime-Green
White
";"Boldly face high winds, frigid temps and stormy weather the whole winter through in the Hyperion Elements Jacket. LumaTech™ insulating technology helps maintain your core temperature and wick sweat. The smooth shell is water repellent and quilted to retain body heat.

• Lime 1/4 zip pullover.
• Split pocket. 
• Thumb holes. 
• Machine wash/hang to dry.";51;"Insulated
Rain Coat
Hard Shell
Windbreaker
? zip 
";"Outdoor
Running
Warmup
";"Fleece
LumaTech™
Polyester
";Long-Sleeve;N/A;Solid;"Cool
Rainy
Spring
Windy";$17,48
Men;Tops;Jackets;MJ04-ME-BL;Kenobi Trail Vest;"XS
S
M
L
XL
";"Blue
Black
Grey
";"Aside from sealed seams to keep moisture out and body heat in, the Kenobi Trail Vest is all about media convenience. Use your phone and music player without ever taking it out of its cozy compartment: an attached remote on the left chest lets you change songs, pause and raise/lower volume. 

• Black 1/4 zip pullover with royal zipper. 
• Adjustable hood and sleeve cuffs. 
• Machine wash/air dry.";47,99;"Insulated
Soft Shell
Vest
? zip 
";"Outdoor
Warmup";"Cotton
Fleece
Nylon
";Sleeveless;N/A;Solid;"Cold
Cool
Spring
Windy
Wintry
";$16,00
Men;Tops;Jackets;MJ05-ME-BL;Alpha Fleece Jacket;"XS
S
M
L
XL
";"Blue
Black
Grey
";"Performance pairs with straight-out style in the Alpha Fleece Jacket. Full-zip placket, ribbed details, and comfy fleece lining keep you warm, and the Cocona® moisture-evaporation technology delivers dry comfort pre, mid and post training.

• Gray full zip fleece.
• Relaxed fit. 
• Hand pockets. 
• Machine wash/dry.";72;"Insulated
Soft Shell
Heavy Duty
Full zip
";"
Outdoor
Running
Warmup
";"Cocona® performance fabric
Wool
Fleece
";Long-Sleeve;N/A;Solid;"Cold
Mild
Rainy
Spring
Wintry
";$24,00
Men;Tops;Jackets;MJ07-ME-BL;Orion Two-Tone Fitted Jacket;"XS
S
M
L
XL
";"Blue
White
Red 
Black
Grey
";"While you’re getting fit, you need a fitted jacket to match. Striking color blocking patterns on hood, shoulders and arms are hallmarks of the Orion Two-Tone Fitted Jacket. They provide eye-catching contrast against the rich, torso tones of this 7 oz. 100% polyester, moisture-wicking essential. 

• Red full zip fleece with gray insets.
• Double-knit construction.
• Full athletic cut.
• Set in sleeves.
• Front pouch pocket.";72;"Lightweight
Hooded
Rain Coat
Soft Shell
Full zip
";"Outdoor
Running
Warmup
Yoga
";"Polyester
";Long-Sleeve;N/A;Solid ;"All-weather
Cool
Rainy
Spring
Windy
";$24,00
Men;Tops;Jackets;MJ08-ME-GR;Lando Gym Jacket;"XS
S
M
L
XL
";"
Ivory
Brown
White 
Black
Grey
";"The Lando Gym Jacket offers strategic ventilation at perspiration-prone areas, while moisture-wicking technology helps you stay dry. Side-seam pockets house your favorite media device, so you're plugged in when working out.

• Gray polyester/spandex full zip jacket with orange lining. 
• Right pocket device storage.
• Cocona® performance fabric. 
• Machine wash/dry.";99;"Soft Shell
? zip
? zip 
Full zip
";"Gym
Outdoor
Running
Warmup
Yoga
Lounge
";"Spandex
Polyester
";Long-Sleeve;N/A;Solid ;"Cold
Cool
Windy
Wintry
";$36,00
Men;Tops;Jackets;MJ09-ME-YE;Taurus Elements Shell;"XS
S
M
L
XL
";"Yellow
Tan
White
";"What’s a little rain or snow when you’re inside the Taurus Elements Shell? This specially engineered Cocona® jacket lets you enjoy the great outdoors and brave the elements, thanks to the all-waterproof, breathable exterior.

• Yellow 1/4 zip pullover. 
• Two chest pockets.
• Standard fit. 
• Waterproof, breathable, seam sealed. 
• Cocona® performance fabric. 
• Machine wash/dry. ";65,5;"Jacket
Lightweight
Rain Coat
Windbreaker
? zip 
";"Outdoor
Warmup
Lounge
";"Cocona® performance fabric
Lycra®
Polyester
";Long-Sleeve;N/A;Solid ;"Cool
Mild
Rainy
Spring
Windy
";$22,00
Men;Tops;Jackets;MJ10-ME-RE;Mars HeatTech™ Pullover;"XS
S
M
L
XL
";"Blue
White
Red 
Black
";"The Mars HeatTech™ Jacket defense against winter climes so you can play offense in the park, on the trail or in the deck chair. Great for the ski lodge or stadium, it features a wind- and water-resistant outer shell with a draw-cord hood and deep pockets for storage. 

• Red 1/4 zip pullover.
• Adjustable VELCRO® sleeve cuffs. 
• Two hand pockets. 
• Napoleon pocket. 
• Machine wash/dry";66,5;"
Lightweight
Rain Coat
Hard Shell
Windbreaker
? zip
";"
Outdoor
Running
Warmup
";"Nylon
Polyester
";Long-Sleeve;N/A;Solid;"All-weather
Cool
Mild
Rainy
Spring
Windy
";$22,00
Men;Tops;Jackets;MJ11-ME-BL;Typhon Performance Fleece-lined Jacket;"XS
S
M
L
XL
";"
White
Red 
Black
Grey
";"Ironmen and couch warriors both reach for the Typhon Performance Fleece-lined Jacket. After all, no man can resist ultra-soft microfleece lining. Flatlock seams make it ideal for wearing over everything from tanks and tees to high-tech base layers.

• Black full-zip flight jacket.
• Cocona® wicking fiber.
• Machine wash/dry.";52;"Insulated
Heavy Duty
Hard Shell
Windbreaker
Full zip
";"Outdoor
Running
Warmup
";"Cocona® performance fabric
Nylon
Polyester
";Long-Sleeve;N/A;Solid ;"All-weather
Spring
Windy
Wintry
";$17,20
Men;Tops;Jackets;MJ06-ME-BL;Jupiter All-Weather Trainer ;"XS
S
M
L
XL
";"Blue
Red 
Black
Grey
";"Inclement climate be damned. With your breathable, water-resistant Jupiter All-Weather Trainer, you can focus on fuel and form and leave protection and comfort to us. The fabric is a special light fleece the wicks moisture and insulates at once.

• Relaxed fit. 
• Hand pockets. 
• Machine wash/dry.
• Reflective safety trim. ";56,99;"Insulated
Lightweight
Soft Shell
Full zip
";"Gym
Outdoor
Running
Warmup
Yoga
Lounge
";"Fleece
Hemp
Nylon
";Long-Sleeve;N/A;Solid;"All-weather
Indoor
Mild
Spring
Warm
";$0,00
